Ref,Qnty,Value,Mfr. No,Package
"C1, C5",2,1u,ECW-FE2W105JA,"18 x 5mm PP film cap, 15mm pin pacing"
"C2, C3, C4, C6, C7, C8, C12, C13",8,100u,EEU-FC1E101SB,"6.3mm diameter radial electrolytic, 2.5mm pin spacing"
"C9, C10, C11",3,100n,GCM21BR72A104KA37L,0805 X7R capacitor
"C14, C15, C16, C17",4,220u,EEU-FC1V221LB,"8mm diameter electrolytic, 3.5mm pin spacing"
"D1, D2, D3, D4",4,,1N4148W-7-F,SOD-123 SMT diode
"D5, D6",2,,LED_Small,3mm LED
F1,1,,31.8201,"5 x 20mm fuse, greater than 0.17A"
"J1, J2, J3, J4",1,,B2B-XH-A(LF)(SN),2 position 2.54mm spacing XH2P JST connector
J5,1,,1715721,2 position 5mm spacing phoenix terminal block
"L1, L2",2,4u7,TYS80404R7N-10,8 x 4 x 8mm inductor
"PS1, PS2",2,IRM-20-15,IRM-20-15,
"Q1, Q3",2,MJE15032,MJE15032G,TO-220 NPN BJT
"Q2, Q4",2,MJE15033,MJE15033G,TO-220 PNP BJT
"R1, R9",2,22k,RT1206FRE0722KL,1206 thin film resistor
"R2, R3, R10, R11, R17, R18",6,1k,RT1206FRE071KL,1206 thin film resistor
"R4, R12",2,3k3,RT1206FRE073K3L,1206 thin film resistor
"R5, R6, R13, R14",4,6k8,RT1206FRE076K8L,1206 thin film resistor
"R7, R8, R15, R16",4,10,RT1206FRE0710RL,1206 thin film resistor
U1,1,LM4562,LM4562NA/NOPB,DIP-8 opamp
